text,label
What are the steps to register UMD files?,umd_registration
Who can help me with UMD registration?,umd_registration
Can you help me check if my file is a UMD?,umd_check_start
My data was manually consolidated. Is it a UMD?,umd_check_created
"I created this file manually, does that count?",umd_check_created
"It’s a manual consolidation, is it UMD?",umd_check_created
It was consolidated after extraction; does that qualify?,umd_check_transformed
no modifications,umd_check_not_transformed
No transformations,umd_check_not_transformed
No changes,umd_check_not_transformed
"If I didn't enrich my file, is it still a UMD?",umd_check_not_transformed
I didn't change the data,umd_check_not_transformed
No modifications were made. Do I still need to register?,umd_check_not_transformed
UMD means?,umd_guidelines
Define UMD,umd_guidelines
Can you define a UMD?,umd_guidelines
Tell me how UMDs are identified.,umd_guidelines
What does UMD stand for?,umd_guidelines
What makes something a UMD?,umd_guidelines
Which data files are considered UMDs?,umd_guidelines
Is this file a UMD?,umd_check_start
Is my file a UMD?,umd_check_start
Is this document a UMD?,umd_check_start
Is this sheet a UMD?,umd_check_start
Is this data a UMD?,umd_check_start
Would this file be considered a UMD?,umd_check_start
Can you confirm if this dataset is a UMD?,umd_check_start
Does this spreadsheet qualify as a UMD?,umd_check_start
Is my dataset classified as UMD?,umd_check_start
Would this qualify as user-managed data?,umd_check_start
Could this be considered user-managed data?,umd_check_start
hi bot,greeting
hi databot,greeting
hii,greeting
heyy,greeting
kamusta,greeting
kamusta bot,greeting
greetings,greeting
hi po,greeting
kamusta databot,greeting
